Price,Brand,Model,Color,Rating,ROM,RAM,Display (inch),Battery (mAh),Camera (MP),Processor,Voice Call,Display
5999,Ai+,Ai+ Pulse,Purple,4.2,,,,5500,,,,
10799,POCO,POCO M6 Plus,Misty Lavender,4.4,,,,,,,,
17999,MOTOROLA,MOTOROLA G96 5G,Cattleya Orchid,3.7,,,,,,,,
13999,REDMI,REDMI Note 14,Mystique White,4.4,,,,,,,,14
10499,realme,realme P3 Lite,Purple Blossom,4.2,64,4,,,,,,
24999,MOTOROLA,MOTOROLA Edge 60,PANTONE Slipstream,4.3,,,6.7,,,,,60
11999,POCO,POCO M7 Pro,Olive Twilight,4.2,,,,,,,,
17999,MOTOROLA,MOTOROLA G96 5G,Dresden Blue,4.3,,,,5000,,,,
29999,MOTOROLA,MOTOROLA Edge 60,Pantone Shadow,4.3,,,,,,,,60
19499,vivo,vivo T4R 5G,Arctic White,4.3,,,,,,,,
12999,POCO,POCO M7 Plus,Chrome Silver,4.1,128,6,,,,,,
15999,Infinix,Infinix NOTE 50s,Mystic Plum,4.4,,,6.67,,,,,
15999,Infinix,Infinix Note 50s,Marine Drift,4.2,,,,,,,,
17999,MOTOROLA,MOTOROLA G96 5G,Greener Pastures,4.5,,,,5110,,,,
17999,OPPO,OPPO K13 5G,Icy Purple,4.4,,,,,,,,
10440,REDMI,REDMI 14C 5G,Stardust Purple,3.8,,,,,,,,
19999,OPPO,OPPO K13 5G,Icy Purple,4.4,128,8,,,,,,
7299,MOTOROLA,MOTOROLA g05,Plum Red,4.4,,,6.67,,,,,
9699,POCO,POCO M7 5G,Ocean Blue,4.5,,,,,,,,
6999,Ai+,Ai+ Pulse,Green,4.4,,,,5500,,,,
11999,MOTOROLA,MOTOROLA g35 5G,Guava Red,3.7,,,,,,,,
15999,POCO,POCO X7 5G,Cosmic Silver,1,,,,,,,,
12999,OPPO,OPPO K13x 5G,Mist White,1,128,6,,,,,,
10499,realme,realme P3 Lite,Midnight Lily,4.4,,,6.9,,,,,
20999,Samsung,Samsung Galaxy A35,Awesome Lilac,5,,,,,,,,
6999,Samsung,Samsung Galaxy F07,Green,5,,,,7000,,,,
15499,vivo,vivo T4x 5G,Glacial Teal,4.3,,,,,,,,
15999,Motorola,Motorola G85 5G,Cobalt Blue,4,,,,,,,,
5999,Ai+,Ai+ Pulse,Blue,5,256,8,,,,,,
5999,Ai+,Ai+ Pulse,Pink,4.3,,,6.67,,,,,
12499,realme,realme P3x 5G,Midnight Blue,4,,,,,,,,
15452,IQOO,IQOO Z10X 5G,Titanium,1,,,,5110,,,,
