Price,Brand,Model,Color,Rating,ROM,RAM,Display (inch),Battery (mAh),Camera (MP),Processor,Voice Call,Display
43886,HP,HP 15R,,3.9,,,,,,,,
59910,Lenovo,Lenovo IdeaPad Slim,,4.2,,,15.6,,,,,5
46990,MSI,MSI Modern 14,,4,,,,,,,,14
31990,MSI,MSI Modern 14,,4.1,,,,,,,,14
33990,DELL,DELL Intel Core,,4.3,,,,,,,,
19990,CHUWI,CHUWI Intel Core,Grey Laptop,4,,,,,,,,
78490,DELL,DELL 14 Plus,,4.6,,,,,,,,14
30590,HP,HP 15,,4.6,,,,,,,,15
48990,ASUS,ASUS Vivobook 15,,4.3,,,,,,,,15
41990,CHUWI,CHUWI Intel Core,Pro Laptop,3.9,,,,,,,,
37990,CHUWI,CHUWI Intel Core,,4.2,,,,,,,,
41990,Acer,Acer Aspire Intel,,3.9,,,,,,,,
29490,HP,HP 15,,5,,,,,,,,15
59990,Lenovo,Lenovo IdeaPad Slim,,5,,,11.6,,,,,3
13990,Lenovo,Lenovo 100e Chromebook,,4.1,,,,,,,,4
19990,Primebook,Primebook 2 Max,,5,,,,,,,,2
56990,MOTOROLA,MOTOROLA Motobook 60,,1,,,,,,,,60
42990,HP,HP AMD Ryzen,Light Laptop,4.1,,,,,,,,5
35815,ASUS,ASUS Vivobook Go,,4,,,,,,,,15
34950,HP,HP 250R G9,U,5,,,15.6,,,,,
35250,DELL,DELL Inspiron 5440,,4,,,,,,,,5440
68990,ASUS,ASUS Expertbook P1,,5,,,,,,,,
48990,Lenovo,Lenovo V 14,,5,,,,,,(13th Gen),,14
14990,Primebook,Primebook 2 Neo,,4.2,,,,,,,,2
29990,Lenovo,Lenovo V15 AMD,,5,,,,,,,,3
45990,ASUS,"ASUS Vivobook 15,",,4,,,,,,,,15
37990,HP,HP G9 Intel,,4.2,,,15.3,,,,,
54440,Acer,Acer Aspire Lite,,4.3,,,,,,,,
31990,Acer,Acer Aspire 3,,4.4,,,,,,,,3
19990,CHUWI,CHUWI Intel Core,Grey Laptop,4.1,,,,,,(13th Gen),,
78490,DELL,DELL 14 Plus,,4.1,,,,,,,,14
27990,Lenovo,Lenovo V15 Series,,4.4,,,,,,,,
35990,ASUS,ASUS Vivobook 15,,4.1,,,,,,,,15
35990,ASUS,ASUS Vivobook 15,,3.9,,,,,,,,15
50990,ASUS,ASUS Vivobook 15,,4.2,,,,,,,,15
41990,CHUWI,CHUWI Intel Core,Pro Laptop,4,,,,,,(13th Gen),,
37990,CHUWI,CHUWI Intel Core,,4.1,,,,,,,,
36390,Lenovo,Lenovo V 14,,4.3,,,,,,,,14
35250,DELL,DELL Inspiron 5440,,4.2,,,,,,,,5440
37990,HP,HP G9 Intel,,4.4,,,,,,,,
28999,Thomson,Thomson NEO Core,,4.1,,,,,,,,
12789,Lenovo,Lenovo 100e Chromebook,,4.1,,,,,,,,4
50850,Acer,Acer Aspire Lite,,4,,,,,,,,
57990,HP,HP Victus AI,,4.4,,,,,,,,31
